"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHF21B",30.8740513967812,-3.08888226010589,1.27683687142978,-2.41916749838764,0.0155560752728747,0.0657776634125094
"PHF23",2086.85013647778,-0.246694334786563,0.299143649346601,-0.82466846722436,0.409559838566951,0.600893928497009
"PHF24",45.8082452043404,-1.07194026419754,1.22000271315378,-0.878637606818521,0.379597798382499,0.572467813461502
"PHF2P2",1.4209103499341,1.30072421440555,2.6689046905159,0.487362557017393,0.626001423062624,0.771628815278625
"PHF3",3362.36741974482,-0.612348823557157,0.32084808115098,-1.90853197987183,0.0563224939053424,0.164165936929501
"PHF5A",2130.46274079602,0.607830872313162,0.276638672051947,2.19720138115406,0.028006067013522,0.100060010159259
"PHF5CP",0.604360031444316,0.869934617955944,1.26542174417343,0.687466152657416,0.49178902304292,NA
"PHF6",2297.94216469696,1.16935349527617,0.342768685062584,3.41149453329632,0.00064607796817474,0.00553537056074169
"PHF7",177.792758566044,0.210895610839094,0.421952736584655,0.499808610192016,0.617209847330018,0.765366530938576
"PHF8",2328.98344280283,0.424905195584948,0.396393141576706,1.07192872685645,0.283752046175882,0.477196471347287
"PHGDH",8336.37813531602,1.64538026157185,0.738914348874742,2.22675370166721,0.0259637392028894,0.0947420720643518
"PHIP",3729.98538151773,0.296459106684529,0.312022223559301,0.950121767939346,0.342050383700112,0.536864204005806
"PHKA1",990.172486336385,0.904292363962497,0.470269709900628,1.92292283539499,0.0544897414549088,0.16047267488022
"PHKA1-AS1",0.852075073620286,0.471805005345103,1.284059342451,0.367432399537335,0.71329650779656,NA
"PHKA1P1",6.22420375790277,0.635654397798995,0.662211148231181,0.95989685389151,0.337107129772868,0.532163316909431
"PHKA2",1841.98348893874,0.13745804622305,0.333822701701631,0.411769617591524,0.680508292467193,0.809345629310981
"PHKA2-AS1",10.0799502683683,0.429198276492212,0.644672467017193,0.665761760352587,0.505563390472239,0.680835355510686
"PHKB",3460.21419880843,-0.218831321622693,0.277011238095201,-0.78997272142254,0.429543699394367,0.61807616580181
"PHKG1",51.0807284308211,-0.261284656897478,0.403447008773326,-0.647630670733958,0.517223855011042,0.689852850529858
"PHKG2",2369.01037728847,1.12943907768799,0.329980617840543,3.42274369046054,0.000619925020275065,0.00535525929896094
"PHLDA1",7225.32411837526,0.747379894585922,0.771098300362514,0.969240749505684,0.332425083921583,0.527623438423433
"PHLDA2",1921.91014434441,3.27196884570784,0.614685119348691,5.32299992746654,1.02069785906247e-07,3.30154316392409e-06
"PHLDA3",6737.05377518428,0.530348567886299,0.561644819119489,0.944277503917415,0.345027858614176,0.539878295369735
"PHLDB1",1722.73829860223,-1.76106376534658,0.61139579462942,-2.8803988853309,0.00397172327748983,0.0234791098162486
"PHLDB2",2915.06025031854,-0.22258176605216,0.817717840572234,-0.272198740211414,0.7854692104461,0.877272206581738
"PHLDB3",1154.52620766127,0.747174226627454,0.537500089131072,1.39009135391092,0.164501138441748,0.336181643456855
"PHLPP1",1570.6205377546,0.487700498770183,0.415091054886578,1.17492413538867,0.240025068666888,0.428881058304526
"PHLPP2",425.630206233729,-0.933497381061611,0.44732821300246,-2.08682876225488,0.0369036162011158,0.122189533363044
"PHOSPHO1",36.6161511791186,-0.373989868225829,0.730724825894054,-0.511806708863691,0.608786294565304,0.759194470351852
"PHOSPHO2",112.218588439362,-0.384142173411219,0.436852301027614,-0.879341078226201,0.379216369375873,0.572159643287553
"PHOX2A",1.16360395947658,0.989512259170879,2.11945413548617,0.46687127718567,0.640591976287167,NA
"PHPT1",4729.16730127951,0.581635713506114,0.488660143619629,1.19026632538064,0.233941731839836,0.421858459355161
"PHRF1",3508.0426097451,0.332002778438664,0.27185570225316,1.22124632916286,0.221992767702384,0.407584776614321
"PHTF1",842.466507256139,0.460853227807343,0.431337835625554,1.06842755201149,0.28532769427424,0.47876768735145
"PHTF2",1671.90679849727,0.394859648086794,0.328669417030273,1.20138847007607,0.229600546547705,0.416872626993977
"PHYH",999.732470595626,-1.07071459104425,0.598699709929708,-1.78840004978448,0.0737114882958419,0.196925850986492
"PHYHD1",1393.59771569892,-0.301251429863628,1.09491338174141,-0.27513722536161,0.783210813093645,0.87562426889466
"PHYHIP",155.462404624586,-3.26678313772034,0.889553198033205,-3.67238648002523,0.000240295904872937,0.00248756305368463
"PHYHIPL",51.8634024470543,0.609906891749818,1.33743121737457,0.456028604556643,0.64836940890556,0.787450780669289
"PHYKPL",1510.08296134783,-0.19639185311581,0.32490487808618,-0.604459539889449,0.545538161171758,0.712015448326462
"PI15",195.089228500178,-4.81861670128869,0.97542425761092,-4.94002139447587,7.81139996098877e-07,1.97348131594781e-05
"PI16",221.762941628524,-7.11192030154741,1.4806449458243,-4.80325841897773,1.56104203617332e-06,3.56587127807415e-05
"PI3",24495.7240946146,5.49997439791217,1.40968958122776,3.90155000870618,9.55787104882903e-05,0.00114660220918813
"PI4K2A",2456.7526823439,0.219995990372903,0.347187823668172,0.63365122672956,0.526308461615201,0.696972957564535
"PI4K2B",1611.84472000556,1.14404475875703,0.321697427673403,3.55627574342466,0.000376149277013936,0.00357218968853306
"PI4KA",3617.1780471561,-0.123151762843021,0.302089292979063,-0.40766675848904,0.683518345325927,0.811136100119811
"PI4KAP1",231.122755075209,0.445446842916006,0.718628155457365,0.61985720923014,0.535351799961453,0.704070976742413
"PI4KAP2",216.270703200255,0.153030868779762,0.456337888872775,0.335345524689549,0.737364456067289,0.847402324545733
"PI4KB",4962.70477520285,-0.252464392431934,0.261395321035452,-0.96583363249143,0.334127436206787,0.528982222740869
"PIANP",85.0248077656732,-4.41631017831625,0.989482116752984,-4.46325416452044,8.07242034991616e-06,0.000144632108043877
"PIAS1",2057.13710429521,-0.160064170503671,0.275988759927589,-0.579966265820633,0.561937366997085,0.724624992825907
"PIAS2",1387.58369858835,0.212232882098354,0.34385568856764,0.617214980454237,0.537092936027571,0.705489451926359
"PIAS3",3535.97209293514,0.762419955309326,0.473806098328915,1.60913917739416,0.107585912338687,0.253832920478433
"PIAS4",1701.42417872521,0.357538137693739,0.258595403101323,1.38261598391078,0.16678264538076,0.338867561838116
"PIBF1",976.174538221685,-0.0995039122455205,0.369800035723922,-0.269074912474606,0.787872035649802,0.87863972865429
"PICALM",8343.62049852384,-0.345361490801272,0.385458259255982,-0.895976367111434,0.37026538534717,0.564128006942803
"PICART1",40.5978399536708,0.632056858358588,0.734457954626625,0.86057595860597,0.389471631735486,0.582824494608697
"PICK1",1954.16242553839,0.433509218951002,0.288197574575476,1.50420842225884,0.132527709840419,0.291290496934961
"PICSAR",120.365326415134,8.44824256181807,2.09491825669303,4.03273136544916,5.51322909167436e-05,0.000730050950622945
"PID1",312.233230028082,-3.27102975841383,1.00370027412215,-3.25897067356559,0.00111817225866367,0.00865229672955849
"PIDD1",1838.32992266783,1.36613393645257,0.360375928515057,3.79085790241812,0.000150127830435062,0.00167135037565895
"PIEZO1",8413.67291365634,0.472892071695359,0.451919978588799,1.04640665184144,0.295373322930231,0.489104100348166
"PIEZO2",69.1649215716979,-1.92692601019306,0.886634951349984,-2.17330256072033,0.0297575528962908,0.104578325422648
"PIF1",826.99719242634,3.73010709163604,0.460200455755174,8.10539634411063,5.2573848806729e-16,7.143901632948e-14
"PIFO",199.498532196332,-1.319744955989,1.42306197928205,-0.92739808610081,0.353719883995935,0.548518585042544
"PIGA",1257.53005402081,1.13898065371727,0.361437294872925,3.15125381324502,0.00162571148989612,0.0116409909910587
"PIGB",470.722026808683,0.236094300574122,0.308234366279061,0.765957097594929,0.443701830161458,0.629938752039109
"PIGBOS1",414.820520499332,-0.635830443631216,0.318502742977695,-1.9963107309118,0.0459001107270867,0.142675501852801
"PIGC",1913.68951044389,-0.0666436174867207,0.280755771124615,-0.237372208662954,0.812368047945472,0.892944640567241
"PIGCP1",84.2975449688908,-0.38072526482697,0.684023434194429,-0.556596814954664,0.577802930404418,0.736700636349808
"PIGF",662.645016427031,0.605038938103771,0.305008947311136,1.98367603126927,0.0472919672392867,0.145613649589025
"PIGFP1",2.9044492601742,-0.377745072928969,0.640028823321547,-0.590200095940354,0.555056507825396,0.719484811723721
"PIGG",1995.08052269644,0.24119126393849,0.288502178910157,0.836011931866898,0.403148190576926,0.594901065824807
"PIGH",707.121582071709,-0.409092714626012,0.292077862962453,-1.40062896406018,0.16132505499038,0.332165352550114
"PIGHP1",6.39845834401459,1.38161427101226,0.727495870257111,1.89913692640478,0.057546475089253,0.166556578990782
"PIGK",1925.12219524972,-0.159793025380775,0.278593037229388,-0.573571496868404,0.566257804383507,0.727522598436873
"PIGL",381.578199165578,0.181830933262801,0.350098434277696,0.519370883899966,0.60350213129685,0.755293241918705
"PIGM",885.329829125825,0.37380933640158,0.340175127694178,1.09887321549752,0.271823371082365,0.463952092956747
"PIGN",1716.35222463789,1.132226235774,0.36815832804475,3.07537857906716,0.00210235510794419,0.0142504392037084
"PIGO",2172.81199735785,0.7853550296516,0.318090472503021,2.46896747164956,0.0135503535281115,0.0595032815227959
"PIGP",728.018746376584,-0.161466417610689,0.378522390034175,-0.426570321496995,0.669692318280454,0.80225685603021
"PIGQ",2859.20853083124,0.0953870355628388,0.358816640575293,0.265837825720413,0.7903641103156,0.879946638434042
"PIGR",18188.9755719381,-1.5801101922807,1.9160729877903,-0.824660752669424,0.409564219586995,0.600893928497009
